Order_ID,Supplier,Region,Product,Order_Date,Planned_Delivery_Date,Actual_Delivery_Date,Delay_Days,Delivery_Status,Cost
1000,Supplier_C,Poland,Item_H,2026-01-21 00:00:00,2026-01-30 00:00:00,2026-01-30 00:00:00,0,On Time,566
1001,Supplier_C,Netherlands,Item_H,2026-02-22 00:00:00,2026-02-28 00:00:00,2026-02-28 00:00:00,0,On Time,761
1002,Supplier_A,France,Item_H,2026-02-13 00:00:00,2026-02-21 00:00:00,2026-02-24 00:00:00,3,Delayed,485
1003,Supplier_D,Poland,Item_E,2026-02-02 00:00:00,2026-02-08 00:00:00,2026-02-08 00:00:00,0,On Time,121
1004,Supplier_A,Poland,Item_I,2026-02-18 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,0,On Time,610
1005,Supplier_B,Poland,Item_C,2026-02-13 00:00:00,2026-02-22 00:00:00,2026-02-23 00:00:00,1,Delayed,931
1006,Supplier_A,Netherlands,Item_E,2026-02-20 00:00:00,2026-03-01 00:00:00,2026-03-03 00:00:00,2,Delayed,940
1007,Supplier_C,France,Item_D,2026-01-25 00:00:00,2026-01-31 00:00:00,2026-02-03 00:00:00,3,Delayed,341
1008,Supplier_B,Germany,Item_J,2026-02-22 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,1,Delayed,191
1009,Supplier_C,Poland,Item_G,2026-02-13 00:00:00,2026-02-20 00:00:00,2026-02-25 00:00:00,5,Delayed,134
1010,Supplier_B,Germany,Item_D,2026-02-19 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,0,On Time,489
1011,Supplier_B,France,Item_D,2026-02-23 00:00:00,2026-03-02 00:00:00,2026-03-07 00:00:00,5,Delayed,501
1012,Supplier_B,Poland,Item_B,2026-01-10 00:00:00,2026-01-18 00:00:00,2026-01-19 00:00:00,1,Delayed,369
1013,Supplier_C,Poland,Item_H,2026-01-14 00:00:00,2026-01-23 00:00:00,2026-01-24 00:00:00,1,Delayed,801
1014,Supplier_D,Germany,Item_B,2026-02-16 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,0,On Time,316
1015,Supplier_D,Poland,Item_I,2026-01-29 00:00:00,2026-02-07 00:00:00,2026-02-09 00:00:00,2,Delayed,164
1016,Supplier_A,Netherlands,Item_I,2026-01-24 00:00:00,2026-01-27 00:00:00,2026-01-28 00:00:00,1,Delayed,747
1017,Supplier_D,Netherlands,Item_C,2026-01-17 00:00:00,2026-01-22 00:00:00,2026-01-22 00:00:00,0,On Time,388
1018,Supplier_C,Germany,Item_J,2026-02-08 00:00:00,2026-02-12 00:00:00,2026-02-12 00:00:00,0,On Time,127
1019,Supplier_C,Germany,Item_H,2026-01-12 00:00:00,2026-01-16 00:00:00,2026-01-16 00:00:00,0,On Time,147
1020,Supplier_C,Netherlands,Item_H,2026-02-06 00:00:00,2026-02-11 00:00:00,2026-02-12 00:00:00,1,Delayed,971
1021,Supplier_B,Netherlands,Item_C,2026-01-01 00:00:00,2026-01-06 00:00:00,2026-01-08 00:00:00,2,Delayed,561
1022,Supplier_C,Germany,Item_E,2026-01-26 00:00:00,2026-02-04 00:00:00,2026-02-09 00:00:00,5,Delayed,497
1023,Supplier_C,Netherlands,Item_I,2026-01-15 00:00:00,2026-01-24 00:00:00,2026-01-24 00:00:00,0,On Time,653
1024,Supplier_D,Germany,Item_C,2026-02-01 00:00:00,2026-02-10 00:00:00,2026-02-10 00:00:00,0,On Time,663
1025,Supplier_A,Poland,Item_D,2026-01-30 00:00:00,2026-02-06 00:00:00,2026-02-11 00:00:00,5,Delayed,330
1026,Supplier_A,Netherlands,Item_D,2026-01-13 00:00:00,2026-01-22 00:00:00,2026-01-22 00:00:00,0,On Time,342
1027,Supplier_B,Poland,Item_B,2026-02-11 00:00:00,2026-02-18 00:00:00,2026-02-21 00:00:00,3,Delayed,745
1028,Supplier_D,Poland,Item_D,2026-01-30 00:00:00,2026-02-07 00:00:00,2026-02-07 00:00:00,0,On Time,739
1029,Supplier_B,Netherlands,Item_I,2026-02-08 00:00:00,2026-02-16 00:00:00,2026-02-16 00:00:00,0,On Time,484
1030,Supplier_A,Netherlands,Item_I,2026-02-21 00:00:00,2026-02-28 00:00:00,2026-02-28 00:00:00,0,On Time,358
1031,Supplier_C,France,Item_H,2026-01-27 00:00:00,2026-01-30 00:00:00,2026-02-02 00:00:00,3,Delayed,776
1032,Supplier_A,Netherlands,Item_J,2026-02-13 00:00:00,2026-02-22 00:00:00,2026-02-22 00:00:00,0,On Time,473
1033,Supplier_D,Poland,Item_H,2026-02-10 00:00:00,2026-02-16 00:00:00,2026-02-16 00:00:00,0,On Time,929
1034,Supplier_A,France,Item_D,2026-01-12 00:00:00,2026-01-20 00:00:00,2026-01-25 00:00:00,5,Delayed,485
1035,Supplier_C,Germany,Item_E,2026-02-18 00:00:00,2026-02-21 00:00:00,2026-02-21 00:00:00,0,On Time,212
1036,Supplier_B,France,Item_F,2026-01-23 00:00:00,2026-01-30 00:00:00,2026-01-30 00:00:00,0,On Time,484
1037,Supplier_C,France,Item_B,2026-02-22 00:00:00,2026-02-28 00:00:00,2026-02-28 00:00:00,0,On Time,771
1038,Supplier_B,Poland,Item_G,2026-01-04 00:00:00,2026-01-13 00:00:00,2026-01-13 00:00:00,0,On Time,283
